,Noémie,De l’importance du poil au nez,30,,1,FR,CLASSE,,
DUD,Vamille,Le troqueur ,42,,1,FR,CLASSE,,
"A, Sandra, Sonia",Boris,133 mondes parallèles,11,Z.,1,FR,CLASSE,,
ABÉCASSIS,Eliette,Sépharade,24,,1,FR,CLASSE,,
A.,Krystèle,Une maman presque parfaite,4,O.1.,1,FR,CLASSE,,
ABIRACHED,Zeina,Mourir Partir Revenir - Le jeu des hirondelles,42,,1,FR,CLASSE,,
ABIRACHED,Zeina,Le piano oriental,42,,1,FR,CLASSE,,
"ABIRACHED, ENARD","Zeina, Mathias",Prendre refuge,42,,1,FR,CLASSE,,
"ABOUET, OUBRERIE","Marguerite, Clément",AYA de Yopougon 1,42,L.,2,FR,CLASSE,,
ADAMS,Carol J.,La politique sexuelle de la viande - une théorie critique féministe végétarienne,26,,3,FR,CLASSE,,
AHMAD,Rana,"Ici, les femmes ne rêvent pas - Récit d’une évasion",22,,1,FR,CLASSE,,
AL-SABOUNI,Marwa,Dans les ruines de Homs - Journal d’une architecte syrienne,36,,1,FR,CLASSE,TEMOIGNAGE,
"ALBISTUR, ARMOGATHE","Maïté, Daniel",Histoire du féminisme français du moyen âge à nos jours,21,,1,FR,CLASSE,,
ALDECOA,Josefina R.,La fuerza del destino,24,,1,ES,ROMAN,,
ALDECOA,Josefina R.,Mujeres de negro,24,,1,ES,ROMAN,,
ALESSANDRIN,Arnaud,Sociologie des transidentités,2,,1,FR,CLASSE,,
ALI,Zahra,Féminismes islamiques,20,,2,FR ,CLASSE,1 exemplaire manquant,
ALKAZAZ,Bachar,Lettres de Syrie et d'exil,29,,1,FR,CLASSE,,
ALLENDE,Isabel,Portrait sépia,24,,1,FR,CLASSE,ROMAN,
ALLENDE,Isabel,L’île sous la mer,24,,1,FR,CLASSE,ROMAN,
ALLENDE,Isabel ,Eva Luna,24,,1,ES,CLASSE,ROMAN,
ALLISON,Dorothy,Deux ou trois choses dont je suis sûre,22,Z.,1,FR,CLASSE,,
ALLER,Diana,Coños como el de Marta,24,,1,ES,CLASSE,ROMAN,
AMADOU AMAL,Djaïli,Les impatientes,24,,1,FR,CLASSE,ROMAN,
ANGELOU,Maya,I Know Why the Caged Bird Sings,24,,1,EN,CLASSE,ROMAN,
"AMAR, CARPENTIER-GOFFRE, LOYAL","Cherine, Laura, Anne",Contes qui guérissent contes qui aguérissent - Tome 1,39,K. ,1,ES,CLASSE,ROMAN,
ANCELE,Pierre-Jean,"Du tac au tac, anglais, plus de 1500 phrases prêtes à l’emploi",17,Z.,1,FR/ENG,CLASSE,? Necessaire,
ANDREWS,A.,A quick & easy guide to sex & disability,14,E.5.,1,EN,CLASSE,A CONSULTER SUR PLACE,
ANGELOU,Maya,Un billet d’avion pour l’Afrique - Mémoires,22,,1,FR,CLASSE,,
ANONYME,,Cantines - Précis d’organisation de cuisine collective,8,,1,FR,CLASSE,,
ANONYME,,Evasion,25,,1,EN,CLASSE,,
ANONYME,,Expect resistance,25,,1,EN,CLASSE,,
ANONYME,,"Work - Capitalism, economics, resistance",25,,1,EN,CLASSE,,
ANONYME,,Days of war nights of love - Crimethink for beginners,31,,1,EN,CLASSE,,
ANSORGE,Gisèle,Prendre d’aimer,24,,1,FR,CLASSE,ROMAN,
ANTICO,Nine,Maléfiques - L’association,42,,1,FR,CLASSE,,
ARLETTAZ,"Gérald, Silvia",La Suisse et les étrangers - Immigration et formation nationale (1848-1933),29,,1,FR,CLASSE,,
COLLECTIF,ASILE LGBT Genève,Réfugié.es LGBTI - Guide pratique pour un accueil inclusif et égalitaire,29,,1,FR,CLASSE,,
"APP, FAURE-FRAISSE, FRAENKEL, RAUZIER","Corinne, Anne-Marie, Béatrice, Lydie",40 ans de slogans féministes - 1970/2010,21,,1,FR,CLASSE,,
COLLECTIF,Association “CHOISIR”,Avortement : une loi en procès – L’affaire de Bobigny,40,G.2.,1,FR,CLASSE,,
COLLECTIF,ATELIERS DE L’ANTÉMONDE,Bâtir aussi,24,,1,FR,CLASSE,ROMAN,
ATWOOD,Margaret,The Blind Assassin,24,,1,EN,CLASSE,ROMAN,
AUGIER ,Justine,"De l’ardeur - Histoire de Razan Zaitouneh, avocate syrienne",22/36,,1,FR,CLASSE,,
AZEMA,Lucie,Les femmes aussi sont du voyage - L’émancipation par le départ,22,,1,FR,CLASSE,,
AZZEDDINE,Saphia,Bilqiss,24,,1,FR,CLASSE,ROMAN,
B.,Alex,La società de/generata - teoria e pratica anarcoqueer,26,,1,IT,CLASSE,,
B.,Rosa,Insolente veggie - une végétalienne très très méchante,26,,1,FR,CLASSE,,
BA,Mariama,Une si longue lettre,24,,2,FR,CLASSE,ROMAN,
BÂ,Mariama,Der scharlachrote Gesang,24,,1,DE,CLASSE,ROMAN,
BAEZ,Joan ,Le lever du jour,22,,1,FR,CLASSE,,
BAGHADASSARIAN,Salpy,Quarante cerfs – volants,10,,1,FR,CLASSE,,
BAGIEU,Pénélope,Culottées – Des femmes qui ne font que ce qu’elles veulent – Tome 1,42,,1,FR,CLASSE,,
BAGIEU,Pénélope,Culottées – Des femmes qui ne font que ce qu’elles veulent – Tome 2,42,,1,FR,CLASSE,,
BAKER,Catherine,Insoumission à l’école obligatoire,12,,1,FR,CLASSE,,
BALDWIN,James,Chroniques d’un enfant du pays,16,,1,FR,CLASSE,ESSAI,
BALDWIN,James,I am not your negro,16,,1,FR ,CLASSE,,
BALDWIN,James,Un autre pays,16/24,,1,FR,CLASSE,ROMAN,
BALDWIN,James,La chambre de Giovanni,24,,1,FR,CLASSE,,
BALDWIN,James,Si Beale Street pouvait parler,24,,1,FR,CLASSE,ROMAN,
BALZERANI,Barbara,Camarade Lune,22,,1,FR,CLASSE,,
BARBERY,Muriel,L’élégance du hérisson,24,,1,FR,CLASSE,,
BARBUSSE,Béatrice,Du sexisme dans le sport,15,A.4.,1,FR,CLASSE,,
