Titre,Prénoms auteuricexs,Anciennes catégories,Nouvelles catégories,Langues,ID,Créé le,Modifié le,Noms auteuricexs,Commentaires,Nombre exemplaires
Der scharlachrote Gesang,Mariama,24,,DE,1,2023-01-04,2023-01-04,BÂ,,1
Das Diaphragma - Ein sichere Alternative,FFGZ,40,,DE,3,2023-01-04,2023-01-04,COLLECTIF,,1
Unterden Mangroven,Maryse,24,,DE,4,2023-01-04,2023-01-04,CONDÉ,,1
WahnsinnsFrauen,Sibylle; Luise F.,14,,DE,5,2023-01-04,2023-01-04,DUDA; PUSH,,1
Kassandra-Rufe,Ursula,14,,DE,6,2023-01-04,2023-01-04,EGGLI,,1
Hildegard von Bingen - Nonne und Genie,Christian,22,U,DE,7,2023-01-04,2023-07-19,FELDMANN,on garde?,1
Achtung Mädchen : Fur ein sexismusfreis Bildungswesen,Margrith Von; Rosmarie; Ulrike; Ingrid; Hannah,12,,DE,8,2023-01-04,2023-01-04,FELTEN; FREY; PITTNER; RUSTERHOLTZ; WICKI,,1
Ich weinte nicht als vater starb,Iris,15,H; H5; U,DE,9,2023-01-04,2023-07-12,GALEY,,1
Starker als ihr denkt - Ein Kapitel verschwiegener Geschichte,Karin; Annemarie,24,,DE,10,2023-01-04,2023-01-04,GRÜTTER; RYTER,,1
Zeïda,Leïla,24,,DE,11,2023-01-04,2023-01-04,HOUARI,,1
Lesben Komisch,Andrea,42,L; E; E4,DE,13,2023-01-04,2023-07-26,KELLER,,1
Randalierende Lehrerinnen; der basler lehrerinnenstreik vom 3. februar 59,Ursa,27,,DE,14,2023-01-04,2023-01-04,KRATTIGER (ed.),,1
Karlas Umweg,Hera,24,,DE,15,2023-01-04,2023-01-04,LIND,,1
AnarchaFeminismus – Auf den Spuren einer Utopie,Silke,25,,DE,16,2023-01-04,2023-01-04,LOHSCHELDER,,1
Im Dunkel Spielen – Weisse kultur und literarische imagination,Toni,24,J,DE,17,2023-01-04,2023-01-11,MORRISON,ESSAI,1
Homosexuelle Manner im KY Sachsenhausen,Joachim; Andreas,19,Q,DE,18,2023-01-04,2023-01-25,MULLER; STERNWEILER,,1
Alle Menschen werden Schwestern,Luise F.,31,A,DE,19,2023-01-04,2023-01-16,PUSCH,,1
Das Deustsche als Männersprache,Luise F.,31,Z,DE,20,2023-01-04,2023-01-16,PUSCH,,1
Frauen und Krebs – Vom Umgang mit einer Krankheit,Sabine,30,G; G3,DE,21,2023-01-04,2023-07-26,ROHLFS,on garde?,1
Myome,Karin,30,G; G3,DE,22,2023-01-04,2023-07-26,SCHÖNIG,on garde?,1
Unerhörte Stimmen,Elif,24,,DE,23,2023-01-04,2023-01-04,SHAFAK,,1
Die Farbe Lila,Alice,24,,DE,24,2023-01-04,2023-01-04,WALKER,,1
Grund zur Aufregung,Gabriele,10,,DE,25,2023-01-04,2023-01-04,WOHMANN,,1
Mrs Dalloway,Virginia,24,,DE,26,2023-01-04,2023-01-04,WOOLF,,1
Orlando,Virginia,24,,DE,27,2023-01-04,2023-01-04,WOOLF,,1
N°6 juillet 2020,Fiasko,23,C; Q; Q4,DE; EN; ES; FR,28,2023-01-04,2023-01-11,COLLECTIF,,1
I Know Why the Caged Bird Sings,Maya,22,U,EN,29,2023-01-04,2024-10-09,ANGELOU,,1
A quick & easy guide to sex & disability,A.,14,E; E5,EN,30,2023-01-04,2023-01-11,ANDREWS,A CONSULTER SUR PLACE,1
Evasion,,25,,EN,31,2023-01-04,2023-01-04,ANONYME,,1
Expect resistance,,25,,EN,32,2023-01-04,2023-01-04,ANONYME,,1
Work - Capitalism; economics; resistance,,25,,EN,33,2023-01-04,2023-01-04,ANONYME,,1
Days of war nights of love - Crimethink for beginners,,31,Z,EN,34,2023-01-04,2023-01-16,ANONYME,,1
The Blind Assassin,Margaret,24,,EN,35,2023-01-04,2023-01-04,ATWOOD,,1
Sexuality - A graphic guide,Meg-John; Jules,18,E; E4,EN,36,2023-01-04,2023-01-11,BARKER; SCHEELE,,1
Dykes to watch out for - Hot; Throbbing,Alison,42,,EN,37,2023-01-04,2023-01-04,BECHDEL,,1
Dykes to watch out for – Great romances that never were !,Alison,42,L; E; E4,EN,38,2023-01-04,2023-07-26,BECHDEL,,1
Dykes to watch out for – More,Alison,42,L; E; E4,EN,39,2023-01-04,2023-07-26,BECHDEL,,1
Dykes to watch out for – The Sequel - Added Attraction ! ''Serial Monogamy'' - A Documentary,Alison,42,L; E; E4,EN,41,2023-01-04,2023-07-26,BECHDEL,,1
